niveau,genre,sentiment_global,confiance_adultes,sentiment_securite,participation_projets,liberte_expression,ecoute_et_soutien,envie_venir,relation_famille_etab,confiance_dialogue_extrait,projets_participes,lieux_expression_libre,changements_souhaites,moments_agreables,moments_desagreables,lieux_agreables,lieux_desagreables,cluster_kmeans
4e,Fille,2,2,3,3,1,2,3,3,['égalité'],"['MUN', 'projet pédagogiques']",['aucun'],"['médiathèque', 'cantine', 'zones']","['mes amies', 'médiathèque']",['adultes à la médiathèque'],"['la cour', 'cantine']",[],0
6e,Fille,2,2,2,2,2,2,1,2,[],"['sport', ""vie de l'établissement""]",[],['fontaine'],[],[],['ccc'],[],2
5e,Fille,3,2,3,0,2,2,2,3,[],[],[],[],"['récréation', 'heures de pause']",[],"['extérieur', 'médiathèque']",[],3
4e,Fille,2,2,2,0,2,2,1,2,[],[],[],[],[],[],[],[],3
6e,Fille,2,2,1,0,2,2,1,3,[],[],[],[],['dormir'],[],"['permanence', 'salle de classe']",[],3
4e,Fille,3,0,2,2,2,2,1,3,[],"['MUN', ""vie de l'établissement""]",[],[],[],[],['ccc'],['permanence'],2
4e,Fille,2,2,3,2,2,2,2,1,['communication'],['MUN'],['conseil de classe'],['aucun'],"['récréation', 'cours de langues']","['sortie', 'queue entre midi et deux']","['salle de classe', 'médiathèque']","['salle de classe', 'salle de classe']",0
6e,Garçon,2,2,2,1,2,2,2,2,[],['environnement et solidarité'],[],['fontaine'],['la cour'],['classe'],"['classe', 'fontaine']",['salle de classe'],0
5e,Fille,2,3,2,1,2,1,2,2,[],['art et culture'],[],[],['amis'],['critiques'],"['ccc', 'la cour']",[],0
6e,Garçon,3,3,3,1,3,3,2,3,['aucun'],"[""vie de l'établissement""]","['la cour', 'salle de permanence']",[],[],[],['salle de classe'],[],0
6e,Fille,0,0,0,0,0,0,0,1,[],[],[],[],[],[],[],[],1
6e,Fille,2,2,3,3,2,2,3,2,"['confiance', 'dialogue', 'échange', 'bienveillance']","['MUN', 'MASSMUN', 'OSUIMUN', 'THIMUN', 'FERMUN', 'MEDMUN']","['salle de classe', 'conseils', 'réunions', 'boîtes', 'forums', 'clubs', 'journaux', 'professeur', 'surveillant', 'cpe', 'infirmière']","['espace', 'créativité', 'calme', 'lecture', 'jeux', 'bien-être', 'expression', 'détente']","[""m'amuse"", 'apprends', 'grandis']",[],['ccc'],['permanance'],0
5e,Garçon,1,1,2,2,0,1,1,1,"['confiance', 'écoute']",['projet pédagogiques'],['cour de récréation'],['horaire'],['la cour'],"[""cours d'espagnol""]",['plateaux'],[],1
5e,Fille,2,1,2,2,2,1,1,2,[],['MUN'],[],[],['avec mes amies'],[],[],[],2
4e,Fille,2,2,2,2,2,2,1,2,"['compréhension', 'écoute']",['MUN'],['salle de classe'],"['écoute', 'devoir', 'stress', 'pression']",['la cour'],"['évaluation', 'examen']",['recréation'],['salle de classe'],2
6e,Fille,3,3,3,3,2,2,3,3,[],"['MUN', 'art et culture']",['pp'],[],['osuimun'],[],['bulle'],['salle de classe'],0
6e,Fille,2,2,2,3,1,1,2,2,['écoute'],"['sport', 'projet pédagogiques']",[],['personnes'],['école'],['prisonnier'],['terrain'],['permanence'],2
4e,Fille,3,3,3,2,3,3,3,3,['respect'],"['sport', 'MUN', 'art et culture']",[],['aucun'],['ami-e-s'],[],['classe'],[],0
4e,Garçon,2,0,3,0,1,2,1,2,"['expression', 'écoute', 'respect', 'droits']",[],[],"['liberté', 'temps', 'fluidité', 'calme']",['amis'],['surveillance'],"['salle de classe', 'médiathèque']",['salle de classe'],1
5e,Garçon,2,1,2,0,1,2,1,2,"['écoute', 'respect', 'communication', 'soutien', 'transparence']",[],[],['liberté'],['amis'],"['histoires', 'oppresse']",['recreation'],[],3
6e,Fille,3,2,3,0,2,1,1,3,['aucun'],[],[],[],['avec les amis'],['les cours'],['cantine'],"['bureau', 'vie scolaire']",3
4e,Garçon,3,2,3,0,1,1,2,2,[],[],"['cpe', 'surveillant']","['écouter', 'crier', 'cpe']","['cantine', 'récréation']",[],['classe'],[],3
6e,Garçon,2,2,2,0,1,1,1,2,['aucun'],[],['vie de classe'],[],['activité'],[],[],[],3
4e,Garçon,3,2,3,1,3,1,2,2,"['écoute', 'attention', 'respect']",['art et culture'],['vie scolaire'],"['balle', 'pause']",['amis'],['classe'],['la cour'],['salle de classe'],0
6e,Garçon,3,2,3,0,3,2,0,2,[],[],['aucun'],"['nourriture', 'cantine']","['cantine', 'la cour']",[],['classe'],[],3
4e,Garçon,2,2,2,0,1,0,2,2,"['gentillesse', 'bienveillance']",[],[],"['éducation', 'comportement']",[],[],[],[],3
5e,Fille,3,2,3,0,1,2,2,2,[],[],['aucun'],['climatisation'],['la cour'],['cours vers 14h'],['médiathèque'],['salle de classe'],3
5e,Fille,2,1,2,1,2,1,1,2,['compréhension'],"[""vie de l'établissement""]",['la cour'],['espaces'],"['récréation', 'cours classe entière']","['certains cours', 'cours en demi-groupes']",['salle de classe'],['toilettes'],3
6e,Fille,2,1,2,3,2,0,1,2,['égalité'],"['sport', 'art et culture', 'projets pédagogiques']",[],"['horaires', 'récréation', 'bousculades', 'problèmes']","[""cours d'anglais"", 'moments de partage', 'cours de français']","['cantine', 'récrées', 'passages dans les couloirs']","['permanence', 'ccc']","['cantine', 'couloirs']",2
